Publisher Label,Publisher URI,Site reference,Site_name,Summary,Description 1,Description_2,Type 1,Type 2,Tags,Address_1,Address 2,Address 3,Postcode,Website 1,Website 2,Email,Phone,Category Attraction,Category - arts and culture,Category - food/drink producer,Category - nature/environment,Category - history/heritage,Category - ative lifestyles/sports,Category - open spaces,Category - shopping/retail,Category - family friendly,Category - venue for events,Venue_Description,All_Weather,Opening_Times,Accessibility,Pet friendly,Parking,Visit Time,UPRN,Easting,Northing,Latitude,Longitude,NSC_Map_Link,Google_Map_Link,Walk_Time_Bus,Nearest_Bus_Stop,Walk_Time_Train,Nearest_Train_Station,Directions,Nearest Bus Service,Image,Cost Free,Cost Details,Slug
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,109,Weston Water Adventure Play Park,"An amazing water and play park that the kids will love. The ideal place to relax whilst the children have fun in the fountains, sprays and the splash pad.","The splash pad offers a range of fountains and sprays which are triggered by movement sensors and buttons. The port beacon, the tallest piece of equipment on the splash pad, emits a rain shower effect while others create tunnels and arches.

The wooden Stockholm Castle is just asking to be played on, as are the double cable way and the toddler area where little ones can get the musical on the xylophone or crawl through the tunnel. 

The water park also contains a sand pit, a climbing pyramid and snake swing.

The park is open all year round, with the splash pad running from April to September (weather dependent).",The Water Adventure Play Park is located on Knightstone Road which is the sea front road next to Melrose Car Park.,Attraction,Family friendly,Attraction; Family friendly; Play area,Weston Water Adventure Play Park,Knighstone Road,Weston-Super-Mare,BS23 2AW,http://www.wsm-tc.gov.uk/services/parks-play-areas-green-spaces/,,,,1,0,0,0,0,1,1,0,1,0,,outdoors,seasonal restrictions apply - see website,accessible - check website for restrictions,dog friendly,public parking is available nearby,up to 4 hours,24098052,331509,161929,51.35202695,-2.985185612,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331509&y=161929,"https://www.google.co.uk/maps/place/@51.35202695371986,-2.985185611836695,17z",Less than 15 minutes,1,15 - 30 minutes,Weston-super-Mare Railway Station,,,https://c1.staticflickr.com/1/274/18305523954_beea49774d.jpg,1,,Weston-Water-Adventure-Play-Park
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,108,Weston Sand Sculpture Festival (summer only),Annual sand sculpture event on Weston beach featuring giant sand sculptures by world class artists. There is a different theme every year which has covered everything from King Kong to Story time,The exhibition encourages everyone to have a go at making their own sand sculptures or just to be inspired.,,Attraction,Family friendly,Art and culture; Attraction; Exhibition; Family friendly; Beach,Beach,Marine Parade,Weston-Super-Mare,,http://www.westonsandsculpture.co.uk,,,,1,1,0,0,0,0,1,0,1,0,,outdoors,seasonal restrictions apply - see website,some restrictions - check website,check website for more details,public parking is available nearby,up to 2 hours,,331726,161177,51.34555314,-2.98165939,,"https://www.google.co.uk/maps/place/@51.34555314137567,-2.981659390032735,17z",Less than 15 minutes,24,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://c1.staticflickr.com/9/8813/17536358304_d7133c9698.jpg,0,entry charges apply,Weston-Sand-Sculpture-Festival--summer-only-
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,107,Weston Big Wood,"A diverse and wildlife rich woodland where you will find ancient trees and fascinating fungi, lichens, mosses, and wildflowers.","Weston Big Wood is also an area of geological interest and is a great place to just get away from it all. The best times to visit are between April and July or from September to November.

Please note that dogs must kept on a lead whilst exploring the woods.",,Nature Reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking,Weston Big Wood,Valley Road,Weston-In-Gordano,,http://www.avonwildlifetrust.org.uk/reserves/weston-big-wood,,,0117 9177270,0,0,0,1,0,0,1,0,1,0,,outdoors,open all year,Restrictions apply - check website,"dog friendly, must be on leads",public parking is available nearby,up to 2 hours,24143038,345400,174850,51.46996649,-2.78745984,,"https://www.google.co.uk/maps/place/@51.46996649345206,-2.7874598401409316,17z",Less than 15 minutes,X5,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/LM-Priory-Woods-Portbury-wild-garlic.jpg,1,,Weston-Big-Wood
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,106,Walton Common,"An attractive mix of scrub and woodland awaits you, with views of coast and Gordano Valley.","Walton Common is noted for wildflowers, butterflies, a Scheduled Ancient monument and for being a Site of Special Scientific Interest(SSSI)",The best time to visit is between April and August. Dogs must be on lead.,Nature reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking,Walton Common,,Walton-In-Gordano,,http://www.avonwildlifetrust.org.uk/reserves/walton-common,,,0117 917 7270,0,0,0,1,1,0,1,0,1,0,,outdoors,open all year,some restrictions - check website,"dog friendly, must be on leads",public parking is available nearby,up to 4 hours,24143072,343182,173667,51.45994853,-2.822984733,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=343182&y=173667,"https://www.google.co.uk/maps/place/@51.45994853490403,-2.8229847330246782,17z",15 - 30 minutes,X5,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://c1.staticflickr.com/9/8759/17542033393_80c0dd9968.jpg,1,,Walton-Common
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,105,Walborough Local Nature Reserve,"Site of Special Scientific Interest (SSSI), with an exceptionally rich flora including a number of nationally rare species, salt marsh home to wintering bird species, close to Axe","Wildfowl and waders can be seen on the estuary during autumn and winter, including redshank, dunlin, shelduck and black tailed godwit. 

Birds wintering on the salt marsh include skylark, rock and meadow pipit, linnet and, occasionally, twite.",,Nature Reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking,Walborough Local Nature Reserve,Uphill Way,Uphill,,http://www.avonwildlifetrust.org.uk/reserves/walborough,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=29http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=29,,0117 917 7270,0,0,0,1,0,1,1,0,1,0,,outdoors,open all year,some steep gradients,dog friendly,public parking is available nearby,up to 2 hours,24141139,331561,157856,51.31567627,-2.983389566,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331561&y=157856.06,"https://www.google.co.uk/maps/place/@51.31567626549442,-2.983389566396899,17z",15 - 30 minutes,5,Over 60 minutes,Weston-super-Mare Railway Station,,,https://c1.staticflickr.com/9/8898/18132452676_09fe8b9c49.jpg,1,,Walborough-Local-Nature-Reserve
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,104,Urchinwood Manor,Farm selling grass fed oven ready geese (seasonal) and lamb for freezer.,Please call for more information or see website for details.,,Food and Drink,Goods for sale,Food and drink; Goods for sale,Urchinwood Manor,,Congresbury,BS49 5AP,http://www.urchinwoodmanor.co.uk,,mail@poloaviation.com,01934 833 248,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24053345,344735,163557,51.36836841,-2.795269564,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=344735&y=163557,"https://www.google.co.uk/maps/place/@51.36836841090093,-2.7952695637650478,17z",15 - 30 minutes,A5,Over 60 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_141202663.jpg,0,,Urchinwood-Manor
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,103,Uphill Hill Local Nature Reserve,A historic and archaeologically important site with far reaching views across the coast.,"The nature reserve is designated as a Special Scientific Interest (SSSI) with a diverse range of flora and incorporates several interesting historic buildings, including the partially ruined St Nicholas Church and windmill. 

There are panoramic views over nearby Weston super Mare   the perfect spot to enjoy a quiet picnic.",,Nature reserve,Walking,Landscape; Nature; Outdoors and active; Picnic area; Walking,Uphill Hill Local Nature Reserve,Uphill Way,Uphill,,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=28,,,,0,0,0,1,1,1,1,0,1,0,,outdoors,open all year,some steep gradients,dog friendly,public parking is available nearby,up to 2 hours,24124595,331606,158486,51.32134519,-2.982864904,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331606&y=158486,"https://www.google.co.uk/maps/place/@51.321345188191906,-2.982864903864393,17z",Less than 15 minutes,5,30 - 60 minutes,Weston-super-Mare Railway Station,,,https://c2.staticflickr.com/8/7729/18132452466_943c8f2347.jpg,1,,Uphill-Hill-Local-Nature-Reserve
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,102,Uphill beach,"Part of one the longest naturally occurring beaches in the UK, the golden sands of Uphill beach is a great place to relax, play, walk or enjoy one of the many events taking place throughout the year","Only a stones throw away from Weston super Mare beach, Uphill beach offers the same sandy expanses that are ideal for families, walkers and sports fans alike.",,Attraction,Family friendly,Attraction; Beach; Family friendly; Outdoors and active,Beach,,Uphill,,http://thebeachguide.co.uk/south-west-england/somerset/uphill-slipway-weston-super-mare.htm,,,,1,0,0,1,1,1,1,0,1,1,,outdoors,open all year,some restrictions - sandy beach,dog friendly,public parking is available nearby,up to a whole day,,331353,159334,51.32893868,-2.986658463,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331353&y=159334,"https://www.google.co.uk/maps/place/@51.32893868184455,-2.9866584631119943,17z",Less than 15 minutes,754,30 - 60 minutes,Weston-super-Mare Railway Station,,,https://c2.staticflickr.com/8/7752/18158934965_79a540ecca.jpg,1,,Uphill-beach
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,101,Tyntesfield Estate,"Spectacular Victorian country house, gardens and arboretum managed by the National Trust","Tyntesfield, just a stones throw away from Bristol, was not built as a bold and extravagant statement of wealth, power or politics. Its purpose was simple; to serve as a family home. Once hidden and inaccessible, the ordinary and extraordinary lives and possessions of four generations of the Gibbs family are ready for discovery.

The garden and estate balance faded beauty and function with an abundance of nature; celebrated in ornate Gothic carvings that decorate the house. Flower filled terraces, an empty lake, woodland, champion trees and productive kitchen garden give further opportunities for exploration.",There is also a cafe and shop on site,Attraction,Historic structure/site,Attraction; Heritage; Gardens and parks; Historic Structure/site,Tyntesfield House,Tyntesfield,Wraxall,BS48 1NX,http://www.nationaltrust.org.uk/tyntesfield/,,tyntesfield@nationaltrust.org.uk,0344 800 4966,1,0,0,1,1,0,1,1,1,1,The restored sawmill is available for hire for a range of functions,indoors and outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,onsite parking available,up to a whole day,24091315,350634,171524,51.44054466,-2.711647753,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=350634.02&y=171523.99,"https://www.google.co.uk/maps/place/@51.44054465664607,-2.711647752964829,17z",15 - 30 minutes,X6,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7796/17971087428_37523d5e76.jpg,0,"entry charges apply, free for National Trust members",Tyntesfield-Estate
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,100,Two Rivers Way walk,"A long distance route that winds from Congresbury via Wrington, Regil, Butcombe, Chew Stoke, Chew Magna and finishes at Keynsham.","This is a beautiful long distance GPS Cycle and Walking route. It is recommended that the route be started at the Congresbury Bridge on the River Yeo.

Please consult website for details of cycle sections.",,Walking,Outdoors and active,Walking; Nature; Outdoors and active; Landscape; History,Millennium Green,Bristol Road,Congresbury,,http://www.gps-routes.co.uk/routes/home.nsf/routeslinkswalks/two-rivers-way-walking-route,http://www.ldwa.org.uk/ldp/members/show_path.php?path_name=Two+Rivers+Way,info@gps-routes.co.uk,,0,0,0,1,0,1,1,0,1,0,,outdoors,open all year,some restrictions - check website,dog friendly,public parking is available nearby,up to a whole day,24125973,343766,163789,51.37138701,-2.808811506,,"https://www.google.co.uk/maps/place/@51.371387005980466,-2.8088115057064638,17z",Less than 15 minutes,X1,30 - 60 minutes,Yatton Railway Station,,,https://farm9.staticflickr.com/8899/18632225002_d0e96e3f35.jpg,1,,Two-Rivers-Way-walk
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,99,Tinca Gallery,"The Gallery exhibits pictures in a variety of mediums, alongside ceramics, glass, jewellery and sculpture.","The work on view displays a breadth of subjects and styles by artists located throughout the UK. By exhibiting work by established artists, along with emerging talent, the Gallery continues in the fine tradition of galleries in the South West.",,Arts and culture,Studios,Arts and culture;Gallery; shopping;exhibitions; pictures; ceramics; glass; jewellery and sculpture,6-8 High Street,,Portishead,BS20 6EW,http://www.tincagallery.co.uk/,,info@tincagallery.co.uk,01275 817110,0,1,0,0,0,0,0,1,0,0,,indoors,All year Round,check website,no,parking nearby,Up to 1 hour,24071074,348316,168875,51.41652046,-2.74460872,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=348316&y=168875,"https://www.google.co.uk/maps/place/@51.41652046208745,-2.744608720294355,17z",Less than 15 minutes,X8,Less than 15 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2016/01/Tinca-Gallery.jpg,1,,Tinca-Gallery
